FSAU: Maintain Critical Field information


MANDT	 ZMODULE	 SUBMOD	 TABNAME	 FIELDNAME	 VALUE	 BLANK	 NODISP	 SEQUENCE
100	 MM	 PURCHASE_REQISITION	 EBAN	 PSTYP	 	 	 	 002
100	 MM	 PURCHASE_REQISITION	 EBAN	 WERKS	 	 	 	 005
100	 MM	 VENDOR_MASTER	 LFA1	 KTOKK	 	 	 	 001
100	 MM	 VENDOR_MASTER	 LFA1	 SPRAS	 	 	 	 002
100	 MM	 VENDOR_MASTER	 LFM1	 EKORG	 	 	 	 003
100	 MM	 VENDOR_MASTER	 LFM1	 LEBRE	 	 	 	 004
100	 MM	 VENDOR_MASTER	 LFM1	 WEBRE	 	 	 	 005
100	 MM	 WAREHOUSE_MGMT	 LQUA	 BESTQ	 	 	 	 080
100	 MM	 WAREHOUSE_MGMT	 LQUA	 LGTYP	 	 	 	 070
100	 MM	 WAREHOUSE_MGMT	 LTAK	 BETYP	 	 	 	 040
100	 MM	 WAREHOUSE_MGMT	 LTAK	 BWART	 	 	 	 020
100	 MM	 WAREHOUSE_MGMT	 LTAK	 BWLVS	 	 	 	 030
100	 MM	 WAREHOUSE_MGMT	 LTAK	 LGNUM	 	 	 	 010
100	 MM	 WAREHOUSE_MGMT	 LTAK	 TRART	 	 	 	 050
100	 MM	 WAREHOUSE_MGMT	 LTBK	 DIRTA	 	 	 	 060
100	 MM	 WM_MVT_TYPES	 LQUA	 BESTQ	 	 	 	 001
100	 MM	 WM_MVT_TYPES	 LQUA	 LGTYP	 	 	 	 002
100	 MM	 WM_MVT_TYPES	 LQUA	 SOBKZ	 	 	 	 003
100	 MM	 WM_MVT_TYPES	 LQUA	 VFDAT	 	 	 	 004
100	 PM	 EQUIPMENT	 EQUI	 EQART	 	 	 	 002
100	 PM	 EQUIPMENT	 EQUI	 EQTYP	 	 	 	 001
100	 PM	 PM_NOTIFICATIONS	 VIQMEL	 ARTPR	 	 	 	 050
100	 PM	 PM_NOTIFICATIONS	 VIQMEL	 HERKZ	 	 	 	 080
100	 PM	 PM_NOTIFICATIONS	 VIQMEL	 IWERK	 	 	 	 010
100	 PM	 PM_NOTIFICATIONS	 VIQMEL	 MSAUS	 	 	 	 020
100	 PM	 PM_NOTIFICATIONS	 VIQMEL	 PRDHA	 	 	 	 060
100	 PM	 PM_NOTIFICATIONS	 VIQMEL	 QMART	 	 	 	 040
100	 PM	 PM_NOTIFICATIONS	 VIQMEL	 RBNR	 	 	 	 070
100	 PM	 PM_NOTIFICATIONS	 VIQMEL	 WARPL	 	 X	 	 030
100	 PM	 PM_ORDERS	 CAUFV	 AUART	 	 	 	 010
100	 PM	 PM_ORDERS	 CAUFV	 AUTYP	 30	 	 	 020
100	 PM	 PM_ORDERS	 CAUFV	 PLNAW	 	 	 	 070
100	 PM	 PM_ORDERS	 CAUFV	 PLNTY	 	 	 	 040
100	 PM	 PM_ORDERS	 CAUFV	 PVERW	 	 	 	 050
100	 PM	 PM_ORDERS	 CAUFV	 RSORD	 	 	 	 030
100	 PM	 PM_ORDERS	 CAUFV	 STLTY	 	 	 	 060
100	 PP	 BOM	 MAST	 STLAN	 	 	 	 002
100	 PP	 BOM	 MAST	 WERKS	 	 	 	 001
100	 PP	 BOM	 STKO	 STLST	 	 	 	 006
100	 PP	 BOM	 STKO	 STLTY	 	 	 	 003
100	 PP	 BOM	 STZU	 ALTST	 	 	 	 004
100	 PP	 BOM	 STZU	 VARST	 	 	 	 005
100	 PP	 CONTROL_KEYS	 PLPO	 PLNTY	 	 	 	 004
100	 PP	 CONTROL_KEYS	 PLPO	 STEUS	 	 	 	 001
100	 PP	 CONTROL_KEYS	 PLPO	 WERKS	 	 	 	 003
100	 PP	 ORDER_TYPES	 CAUFV	 AUART	 	 	 	 001
100	 PP	 ORDER_TYPES	 CAUFV	 AUTYP	 	 	 	 002
100	 PP	 ORDER_TYPES	 CAUFV	 CCKEY	 	 	 	 005
100	 PP	 ORDER_TYPES	 CAUFV	 KOSTV	 	 	 	 006
100	 PP	 ORDER_TYPES	 CAUFV	 PLNTY	 	 	 	 004
100	 PP	 ORDER_TYPES	 CAUFV	 SCOPE	 	 	 	 007
100	 PP	 ORDER_TYPES	 CAUFV	 WERKS	 	 	 	 003
100	 PP	 PP_PLNG_STRG	 MARC	 DISMM	 	 	 	 002
100	 PP	 PP_PLNG_STRG	 MARC	 STRGR	 	 	 	 003
100	 PP	 PP_PLNG_STRG	 MARC	 WERKS	 	 	 	 001
100	 PP	 REPETITIVE	 BLPK	 ACHARG	 	 	 	 008
100	 PP	 REPETITIVE	 BLPK	 FLKZH	 	 	 	 007
100	 PP	 REPETITIVE	 BLPK	 KDAUF	 	 	 	 004
100	 PP	 REPETITIVE	 BLPK	 PKPOS	 	 	 	 005
100	 PP	 REPETITIVE	 BLPK	 REPTP	 	 	 	 002
100	 PP	 REPETITIVE	 BLPK	 STORN	 	 	 	 003
100	 PP	 REPETITIVE	 BLPK	 VAART	 	 	 	 001
100	 PP	 REPETITIVE	 BLPK	 WAKZH	 	 	 	 006
100	 PP	 ROUTING	 MAPL	 PLNTY	 	 	 	 002
100	 PP	 ROUTING	 MAPL	 WERKS	 	 	 	 001
100	 PP	 ROUTING	 PLKO	 STATU	 	 	 	 007
100	 PP	 ROUTING	 PLKO	 VAGRP	 	 	 	 005
100	 PP	 ROUTING	 PLKO	 VERWE	 	 	 	 006
100	 PP	 ROUTING	 PLPO	 PHSEQ	 	 	 	 003
100	 PP	 ROUTING	 PLPO	 STEUS	 	 	 	 004
100	 PP	 S&OP	 T445P	 MAKRO	 	 	 	 002
100	 PP	 S&OP	 T445P	 SCTYP	 	 	 	 001
100	 PP	 S&OP	 T445P	 STRAT	 	 	 	 003
100	 PP	 WORKCENTER	 CRHD	 PLANV	 	 	 	 005
100	 PP	 WORKCENTER	 CRHD	 STEUS	 	 	 	 003
100	 PP	 WORKCENTER	 CRHD	 VERAN	 	 	 	 006
100	 PP	 WORKCENTER	 CRHD	 VERWE	 	 	 	 002
100	 PP	 WORKCENTER	 CRHD	 VGWTS	 	 	 	 004
100	 PP	 WORKCENTER	 CRHD	 WERKS	 	 	 	 001
100	 PS	 MASTERDATA	 PROJ	 PSPNR	 	 	 	 001
100	 PS	 MASTERDATA	 PROJ	 VBUKR	 	 	 	 002
100	 PS	 MASTERDATA	 PROJ	 VKOKR	 	 	 	 003
100	 PS	 MASTERDATA	 PROJ	 WERKS	 	 	 	 004
100	 PS	 MASTERDATA	 PRPS	 PSPNR	 	 	 	 005
100	 PS	 SCHEDULING	 PRTE	 POSNR	 	 X	 	 001
100	 QM	 INSPECTION_PLAN	 PLKO	 PLNTY	 Q	 	 	 002
100	 QM	 INSPECTION_PLAN	 PLKO	 PROFIDNETZ	 	 	 	 005
100	 QM	 INSPECTION_PLAN	 PLKO	 PRTYP	 	 	 	 006
100	 QM	 INSPECTION_PLAN	 PLKO	 STATU	 	 	 	 004
100	 QM	 INSPECTION_PLAN	 PLKO	 VERWE	 	 	 	 003
100	 QM	 INSPECTION_PLAN	 PLKO	 WERKS	 	 	 	 001
100	 QM	 INSPECTION_TYPE	 QALS	 ART	 	 	 	 020
100	 QM	 INSPECTION_TYPE	 QALS	 DYNHEAD	 	 	 	 060
100	 QM	 INSPECTION_TYPE	 QALS	 HERKUNFT	 	 	 	 030
100	 QM	 INSPECTION_TYPE	 QALS	 KZDYNERF	 	 	 	 050
100	 QM	 INSPECTION_TYPE	 QALS	 QINFSTATUS	 	 	 	 070
100	 QM	 INSPECTION_TYPE	 QALS	 STAT01	 	 	 	 040
100	 QM	 INSPECTION_TYPE	 QALS	 STSMA	 	 	 	 080
100	 QM	 INSPECTION_TYPE	 QALS	 WERK	 	 	 	 010
100	 QM	 MASTER_INSP_CHAR	 PLMK	 KZEINSTELL	 	 	 	 020
100	 QM	 MASTER_INSP_CHAR	 PLMK	 MERKNR	 	 	 	 030
100	 QM	 MASTER_INSP_CHAR	 PLMK	 PLNNR	 	 	 	 060
100	 QM	 MASTER_INSP_CHAR	 PLMK	 PLNTY	 Q	 	 	 010
100	 QM	 MASTER_INSP_CHAR	 PLMK	 QDYNREGEL	 	 	 	 050
100	 QM	 MASTER_INSP_CHAR	 PLMK	 QPMK_ZAEHL	 	 	 	 070
100	 QM	 MASTER_INSP_CHAR	 PLMK	 STICHPRVER	 	 	 	 040
100	 QM	 NOTIFICATIONS	 VIQMEL	 HERKZ	 	 	 	 004
100	 QM	 NOTIFICATIONS	 VIQMEL	 IWERK	 	 	 	 001
100	 QM	 NOTIFICATIONS	 VIQMEL	 MAWERK	 	 	 	 005
100	 QM	 NOTIFICATIONS	 VIQMEL	 QMART	 	 	 	 002
100	 QM	 NOTIFICATIONS	 VIQMEL	 QMGRP	 	 	 	 007
100	 QM	 NOTIFICATIONS	 VIQMEL	 QMKAT	 	 	 	 006
100	 QM	 NOTIFICATIONS	 VIQMEL	 RBNR	 	 	 	 003
100	 QM	 QM_MATERIALS	 MARC	 BESKZ	 	 	 	 045
100	 QM	 QM_MATERIALS	 MARC	 QMATA	 	 	 	 050
100	 QM	 QM_MATERIALS	 MARC	 QMATV	 	 	 	 030
100	 QM	 QM_MATERIALS	 MARC	 QZGTP	 	 	 	 040
100	 QM	 QM_MATERIALS	 MARC	 SSQSS	 	 	 	 020
100	 QM	 QM_MATERIALS	 MARC	 WERKS	 	 	 	 010
100	 SD	 BILLING	 VBRK	 EXPKZ	 	 	 	 000
100	 SD	 BILLING	 VBRK	 FKART	 	 	 	 040
100	 SD	 BILLING	 VBRK	 FKTYP	 	 	 	 050
100	 SD	 BILLING	 VBRK	 INCO1	 	 	 	 070
100	 SD	 BILLING	 VBRK	 KALSM	 	 	 	 060
100	 SD	 BILLING	 VBRK	 VBTYP	 	 	 	 010
100	 SD	 BILLING	 VBRK	 VKORG	 	 	 	 000
100	 SD	 BILLING	 VBRK	 VTWEG	 	 	 	 000
100	 SD	 BILLING	 VBRP	 MATNR	 	 	 	 000
100	 SD	 BILLING	 VBRP	 PSTYV	 	 	 	 030
100	 SD	 CREDIT_MGMNT	 KNKK	 CTLPC	 	 	 	 020
100	 SD	 CREDIT_MGMNT	 KNKK	 DBRTG	 	 	 	 060
100	 SD	 CREDIT_MGMNT	 KNKK	 GRUPP	 	 	 	 040
100	 SD	 CREDIT_MGMNT	 KNKK	 KDGRP	 	 	 	 050
100	 SD	 CREDIT_MGMNT	 KNKK	 KKBER	 	 	 	 010
100	 SD	 CREDIT_MGMNT	 KNKK	 SBGRP	 	 	 	 030
100	 SD	 CUSTOMER_MASTER	 KNA1	 KTOKD	 	 	 	 100
100	 SD	 CUSTOMER_MASTER	 KNVV	 BZIRK	 	 	 	 050
100	 SD	 CUSTOMER_MASTER	 KNVV	 KALKS	 	 	 	 090
100	 SD	 CUSTOMER_MASTER	 KNVV	 KDGRP	 	 	 	 020
100	 SD	 CUSTOMER_MASTER	 KNVV	 KLABC	 	 	 	 060
100	 SD	 CUSTOMER_MASTER	 KNVV	 KONDA	 	 	 	 070
100	 SD	 CUSTOMER_MASTER	 KNVV	 KTGRD	 	 	 	 080
100	 SD	 CUSTOMER_MASTER	 KNVV	 SPART	 	 	 	 011
100	 SD	 CUSTOMER_MASTER	 KNVV	 VKBUR	 	 	 	 040
